Date,Open,High,Low,Close,Adj Close,Volume
2022-08-09,35.220001,35.299999,34.400002,34.520000,33.512730,48202300
2022-08-10,34.990002,35.400002,34.590000,35.369999,34.337925,42243300
2022-08-11,35.639999,36.290001,35.490002,35.590000,34.551506,35569700
2022-08-12,35.799999,36.139999,35.669998,36.110001,35.056328,37675200
2022-08-15,36.099998,36.430000,35.709999,36.340000,35.279621,25400600
2022-08-16,36.160000,36.580002,35.700001,36.189999,35.133995,25000200
2022-08-17,35.810001,36.080002,35.270000,35.779999,34.735958,29176100
2022-08-18,35.680000,36.330002,35.570000,36.200001,35.143707,24598200
2022-08-19,35.799999,36.029999,35.189999,35.380001,34.347630,31425500
2022-08-22,35.000000,35.060001,33.730000,33.840000,32.852570,51006100
2022-08-23,33.980000,34.389999,33.910000,33.950001,32.959362,30687100
2022-08-24,33.970001,33.990002,33.599998,33.860001,32.871983,25105700
2022-08-25,33.869999,34.930000,33.820000,34.889999,33.871929,29799100
2022-08-26,34.950001,35.029999,33.349998,33.360001,32.386574,44851500
2022-08-29,33.230000,33.410000,32.810001,32.939999,31.978828,32976800
2022-08-30,33.040001,33.070000,32.150002,32.259998,31.318670,40182500
2022-08-31,32.389999,32.389999,31.770000,31.920000,30.988594,44074500
2022-09-01,31.570000,31.830000,31.129999,31.760000,30.833263,36440700
2022-09-02,32.209999,32.380001,31.059999,31.219999,30.309019,34893300
2022-09-06,31.389999,31.389999,30.330000,30.360001,29.474113,46989600
2022-09-07,30.420000,30.790001,30.049999,30.650000,29.755650,37329500
2022-09-08,30.370001,30.850000,29.910000,30.750000,29.852734,37359500
2022-09-09,31.190001,31.500000,31.080000,31.459999,30.542015,34069500
2022-09-12,31.740000,31.860001,31.100000,31.559999,30.639097,38305500
2022-09-13,30.830000,30.930000,29.250000,29.290001,28.435337,71417900
2022-09-14,29.549999,29.770000,29.010000,29.180000,28.328545,40767200
2022-09-15,29.150000,29.410000,28.709999,28.840000,27.998466,39919100
2022-09-16,28.700001,29.320000,28.420000,29.240000,28.386793,72748000
2022-09-19,29.020000,29.500000,28.900000,29.440001,28.580959,33151900
2022-09-20,29.070000,29.170000,28.709999,28.959999,28.114965,31129000
2022-09-21,29.150000,29.590000,28.459999,28.469999,27.639261,39977300
2022-09-22,28.400000,28.500000,28.040001,28.070000,27.250935,36092700
2022-09-23,27.900000,27.900000,27.190001,27.520000,26.716982,43491100
2022-09-26,27.559999,27.700001,26.860001,26.969999,26.183031,44786400
2022-09-27,27.400000,27.600000,26.620001,26.889999,26.105364,44121400
2022-09-28,26.860001,27.280001,26.600000,27.129999,26.338362,40433400
2022-09-29,26.780001,26.780001,26.190001,26.379999,25.610245,41831300
2022-09-30,26.299999,26.570000,25.740000,25.770000,25.018047,43821000
2022-10-03,26.330000,27.250000,26.070000,26.969999,26.183031,44096200
2022-10-04,27.430000,27.799999,27.090000,27.700001,26.891731,42427500
2022-10-05,27.370001,27.840000,26.889999,27.639999,26.833481,30120000
2022-10-06,27.440001,27.760000,27.000000,27.180000,26.386904,33985100
2022-10-07,26.170000,26.280001,25.650000,25.719999,24.969503,57215500
2022-10-10,25.940001,25.990000,25.090000,25.200001,24.464680,43409300
2022-10-11,25.010000,25.480000,24.690001,25.040001,24.309347,48134900
2022-10-12,25.049999,25.520000,24.660000,25.330000,24.590885,39634100
2022-10-13,24.730000,26.840000,24.590000,26.420000,25.649080,62447000
